Timestamp,Temperature (°C),Humidity (%),Wind Speed (m/s),Weather Code,"Weather Description_Mainly clear, partly cloudy, and overcast","Weather Description_Rain showers: Slight, moderate, and violent",Weather Description_Thunderstorm with slight and heavy hail,Weather Description_Thunderstorm: Slight or moderate,CO,Weather
2024-12-26 12:00:23,29.4384106,73.50331126,12.55960265,3,0,0,0,0,400.69710432854987,Other
2024-12-26 12:06:07,29.42119205,73.62251656,12.50529801,3,0,0,0,0,402.4920830602261,Other
2024-12-26 12:12:06,29.40397351,73.74172185,12.45099338,3,0,0,0,0,402.3620333607494,Other
2024-12-26 12:18:35,29.38675497,73.86092715,12.39668874,3,0,0,0,0,403.7228134592817,Other
2024-12-26 12:24:17,29.36953642,73.98013245,12.34238411,3,0,0,0,0,401.2510180881481,Other
2024-12-26 12:30:02,29.35231788,74.09933775,12.28807947,3,0,0,0,0,401.39295756829233,Other
2024-12-26 12:36:27,29.33509934,74.21854305,12.23377483,3,0,0,0,0,401.83266458188643,Other
2024-12-26 12:42:05,29.31788079,74.33774834,12.1794702,3,0,0,0,0,400.2844480505105,Other
2024-12-26 12:48:43,29.30066225,74.45695364,12.12516556,3,0,0,0,0,402.601788438131,Other
2024-12-26 12:54:43,29.28344371,74.57615894,12.07086093,3,0,0,0,0,402.52025635013206,Other
2024-12-26 13:00:20,29.26622517,74.69536424,12.01655629,3,0,0,0,0,401.7037395677682,Other
2024-12-26 13:06:27,29.24900662,74.81456954,11.96225166,3,0,0,0,0,400.1108461538226,Other
2024-12-26 13:12:39,29.23178808,74.93377483,11.90794702,3,0,0,0,0,402.28194596364614,Other
2024-12-26 13:18:53,29.21456954,75.05298013,11.85364238,3,0,0,0,0,401.6253452750699,Other
2024-12-26 13:24:53,29.19735099,75.17218543,11.79933775,3,0,0,0,0,401.79467967803964,Other
2024-12-26 13:30:00,29.18013245,75.29139073,11.74503311,3,0,0,0,0,402.93026508080044,Other
